BA Flight,STA / STD,DOW,Origin,Destination,Inbound / Outbound
BA 8712,17:10,Thursday,LCY,EDI,Outbound
BA 8708,18:00,Thursday,LCY,EDI,Outbound
BA 8710,19:00,Thursday,LCY,EDI,Outbound
BA 8718,19:50,Thursday,LCY,EDI,Outbound
BA 8721,08:15,Thursday,GLA,LCY,Inbound
BA 8723,08:50,Thursday,GLA,LCY,Inbound
BA 8739,10:15,Thursday,GLA,LCY,Inbound
BA 8725,12:10,Thursday,GLA,LCY,Inbound
BA 2211,15:30,Thursday,GLA,LCY,Inbound
BA 8727,17:30,Thursday,GLA,LCY,Inbound
BA 2213,19:00,Thursday,GLA,LCY,Inbound
BA 8729,20:20,Thursday,GLA,LCY,Inbound
BA 2215,21:15,Thursday,GLA,LCY,Inbound
BA 8720,07:05,Thursday,LCY,GLA,Outbound
BA 8722,08:50,Thursday,LCY,GLA,Outbound
BA 2210,09:20,Thursday,LCY,GLA,Outbound
BA 8726,14:20,Thursday,LCY,GLA,Outbound
BA 2212,15:50,Thursday,LCY,GLA,Outbound
BA 8724,17:00,Thursday,LCY,GLA,Outbound
BA 8728,18:00,Thursday,LCY,GLA,Outbound
BA 2214,19:30,Thursday,LCY,GLA,Outbound
BA 8730,20:30,Thursday,LCY,GLA,Outbound
BA 3281,08:10,Thursday,IOM,LCY,Inbound
BA 3285,15:50,Thursday,IOM,LCY,Inbound
BA 3287,19:30,Thursday,IOM,LCY,Inbound
BA 3282,08:40,Thursday,LCY,IOM,Outbound
BA 3286,16:30,Thursday,LCY,IOM,Outbound
BA 3288,20:00,Thursday,LCY,IOM,Outbound
BA 8701,12:35,Sunday,EDI,LCY,Inbound
BA 8707,18:05,Sunday,EDI,LCY,Inbound
BA 8717,19:40,Sunday,EDI,LCY,Inbound
BA 8719,21:20,Sunday,EDI,LCY,Inbound
BA 8712,16:10,Sunday,LCY,EDI,Outbound
BA 8708,19:05,Sunday,LCY,EDI,Outbound
BA 8716,20:05,Sunday,LCY,EDI,Outbound
BA 8725,14:00,Sunday,GLA,LCY,Inbound
BA 8727,15:00,Sunday,GLA,LCY,Inbound
BA 8728,19:50,Sunday,LCY,GLA,Outbound
